iter	Passed	Remaining
0	4	4939
1	5	2740
2	6	2013
3	6	1640
4	7	1427
5	7	1259
6	7	1120
7	8	1048
8	8	989
9	9	938
10	9	898
11	10	865
12	11	835
13	11	811
14	12	790
15	12	770
16	13	753
17	13	748
18	14	739
19	14	729
20	15	719
21	15	706
22	16	693
23	16	676
24	17	667
25	17	658
26	18	649
27	18	642
28	19	636
29	19	629
30	20	630
31	20	627
32	21	623
33	21	617
34	22	613
35	22	601
36	22	596
37	23	591
38	23	588
39	24	584
40	24	583
41	25	579
42	25	576
43	26	574
44	26	571
45	27	568
46	27	566
47	28	563
48	28	560
49	29	558
50	29	552
51	30	550
52	30	547
53	31	546
54	31	544
55	32	542
56	32	542
57	33	540
58	33	538
59	34	535
60	34	533
61	35	531
62	35	528
63	36	526
64	36	524
65	36	522
66	37	521
67	37	520
68	38	520
69	39	518
70	39	516
71	39	514
72	40	513
73	40	511
74	41	509
75	41	509
76	42	507
77	42	506
78	43	505
79	43	502
80	44	500
81	44	499
82	45	499
83	45	498
84	46	497
85	46	496
86	47	494
87	47	493
88	48	491
89	48	491
90	49	489
91	49	489
92	50	488
93	50	487
94	51	487
95	51	487
96	52	486
97	52	485
98	53	484
99	53	483
100	54	482
101	54	481
102	55	479
103	55	478
104	56	479
105	56	478
106	57	478
107	57	477
108	58	478
109	59	478
110	59	477
111	60	477
112	60	476
113	61	475
114	61	474
115	62	472
116	62	472
117	63	471
118	63	470
119	64	470
120	64	469
121	65	469
122	65	468
123	66	466
124	66	466
125	67	465
126	67	464
127	68	464
128	68	463
129	69	462
130	69	461
131	70	460
132	70	460
133	71	460
134	71	459
135	72	458
136	72	458
137	73	457
138	73	456
139	74	455
140	74	454
141	75	454
142	75	453
143	76	453
144	76	452
145	77	452
146	77	451
147	78	450
148	78	449
149	79	448
150	79	447
151	80	446
152	80	446
153	81	445
154	81	444
155	82	443
156	82	443
157	83	442
158	83	442
159	84	442
160	84	441
161	85	440
162	85	439
163	86	438
164	86	438
165	87	437
166	87	436
167	87	435
168	88	435
169	89	434
170	89	434
171	90	433
172	90	432
173	90	431
174	91	431
175	91	430
176	92	429
177	92	428
178	93	427
179	93	426
180	94	426
181	94	425
182	95	425
183	95	424
184	96	424
185	96	424
186	97	423
187	97	422
188	98	421
189	98	421
190	99	420
191	99	419
192	100	418
193	100	418
194	101	417
195	101	417
196	102	416
197	102	415
198	103	415
199	103	414
200	104	413
201	104	413
202	105	412
203	105	411
204	105	410
205	106	410
206	106	409
207	107	408
208	107	408
209	108	407
210	108	407
211	109	406
212	109	405
213	110	405
214	110	404
215	111	403
216	111	403
217	112	402
218	112	401
219	113	401
220	113	400
221	114	400
222	114	399
223	115	399
224	115	398
225	116	397
226	116	396
227	116	395
228	117	395
229	117	394
230	118	393
231	118	393
232	119	392
233	119	391
234	120	391
235	120	390
236	121	390
237	121	389
238	122	389
239	122	388
240	123	387
241	123	386
242	123	386
243	124	385
244	125	385
245	125	385
246	126	385
247	126	384
248	127	384
249	130	392
250	131	392
251	132	391
252	132	391
253	133	392
254	134	392
255	135	392
256	135	392
257	136	391
258	136	391
259	137	390
260	137	390
261	138	390
262	139	389
263	139	389
264	141	391
265	141	391
266	142	390
267	142	390
268	143	389
269	143	389
270	144	388
271	145	389
272	146	389
273	146	388
274	147	388
275	147	387
276	148	386
277	148	386
278	149	386
279	150	386
280	150	385
281	151	385
282	151	385
283	152	384
284	153	384
285	153	383
286	154	383
287	154	382
288	155	382
289	155	381
290	156	381
291	157	380
292	157	380
293	158	379
294	158	379
295	159	379
296	160	378
297	160	378
298	161	377
299	161	377
300	162	376
301	162	376
302	163	375
303	164	375
304	164	375
305	165	375
306	165	374
307	166	374
308	166	373
309	167	373
310	168	372
311	168	372
312	169	371
313	169	371
314	170	370
315	171	370
316	171	369
